date,country,ISO_2
2016-05-02,Isle of Man,IM
2016-05-02,Mexico,MX
2016-05-02,Northern Ireland,None
2016-05-02,Scotland,None
2016-05-02,Slovenia,SI
2016-05-02,South Africa,ZA
2016-05-02,Ukraine,UA
2016-05-02,United Kingdom,GB
2016-05-02,Wales,None
2016-05-03,Japan,JP
2016-05-03,Poland,PL
2016-05-04,Japan,JP
2016-05-05,Austria,AT
2016-05-05,Belgium,BE
2016-05-05,Denmark,DK
2016-05-05,Finland,FI
2016-05-05,France,FR
2016-05-05,Germany,DE
2016-05-05,Japan,JP
2016-05-05,Netherlands,NL
2016-05-05,Norway,NO
2016-05-05,Sweden,SE
2016-05-05,Switzerland,CH
2016-05-08,Czech,CZ
2016-05-08,France,FR
2016-05-08,Norway,NO
2016-05-08,Sweden,SE
2016-05-09,Belarus,BY
2016-05-09,Colombia,CO
2016-05-09,Ukraine,UA
2016-05-10,Belarus,BY
2016-05-15,Belgium,BE
2016-05-15,Denmark,DK
2016-05-15,Finland,FI
2016-05-15,Hungary,HU
2016-05-15,Netherlands,NL
2016-05-15,Norway,NO
2016-05-15,Poland,PL
2016-05-15,Sweden,SE
2016-05-15,Switzerland,CH
2016-05-16,Austria,AT
2016-05-16,Belgium,BE
2016-05-16,Denmark,DK
2016-05-16,France,FR
2016-05-16,Germany,DE
2016-05-16,Hungary,HU
2016-05-16,Netherlands,NL
2016-05-16,Norway,NO
2016-05-16,Switzerland,CH
2016-05-17,Norway,NO
2016-05-22,Norway,NO
2016-05-22,Sweden,SE
2016-05-23,Canada,CA
2016-05-25,Argentina,AR
2016-05-26,Austria,AT
2016-05-26,Brazil,BR
2016-05-26,Croatia,HR
2016-05-26,Poland,PL
2016-05-26,Portugal,PT
2016-05-29,Norway,NO
2016-05-29,Sweden,SE
2016-05-30,Colombia,CO
2016-05-30,England,None
2016-05-30,Isle of Man,IM
2016-05-30,Northern Ireland,None
2016-05-30,Scotland,None
2016-05-30,United Kingdom,GB
2016-05-30,United States,US
2016-05-30,Wales,None
2016-06-02,Italy,IT
2016-06-03,Isle of Man,IM
2016-06-05,Norway,NO
2016-06-05,Sweden,SE
2016-06-06,Colombia,CO
2016-06-06,Ireland,IE
2016-06-06,New Zealand,NZ
2016-06-06,Sweden,SE
2016-06-10,Portugal,PT
2016-06-12,Norway,NO
2016-06-12,Sweden,SE
2016-06-16,South Africa,ZA
2016-06-17,Argentina,AR
2016-06-19,Norway,NO
2016-06-19,Sweden,SE
2016-06-19,Ukraine,UA
2016-06-20,Argentina,AR
2016-06-22,Croatia,HR
2016-06-24,Finland,FI
2016-06-24,Sweden,SE
2016-06-25,Croatia,HR
2016-06-25,Finland,FI
2016-06-25,Slovenia,SI
2016-06-25,Sweden,SE
2016-06-26,Norway,NO
2016-06-26,Sweden,SE
2016-06-28,Ukraine,UA
2016-07-01,Canada,CA
2016-07-03,Belarus,BY
2016-07-03,Norway,NO
2016-07-03,Sweden,SE
2016-07-04,Colombia,CO
2016-07-04,United States,US
2016-07-05,Czech,CZ
2016-07-05,Isle of Man,IM
2016-07-06,Czech,CZ
2016-07-09,Argentina,AR
2016-07-10,Norway,NO
2016-07-10,Sweden,SE
2016-07-12,Northern Ireland,None
2016-07-12,United Kingdom,GB
2016-07-14,France,FR
2016-07-17,Norway,NO
2016-07-17,Sweden,SE
2016-07-18,Japan,JP
2016-07-20,Colombia,CO
2016-07-21,Belgium,BE
2016-07-24,Norway,NO
2016-07-24,Sweden,SE
2016-07-31,Norway,NO
2016-07-31,Sweden,SE
2016-08-01,Canada,CA
2016-08-01,Ireland,IE
2016-08-01,Scotland,None
2016-08-01,Switzerland,CH
2016-08-01,United Kingdom,GB
2016-08-03,South Africa,ZA
2016-08-05,Croatia,HR
2016-08-07,Colombia,CO
2016-08-07,Norway,NO
2016-08-07,Sweden,SE
2016-08-09,South Africa,ZA
2016-08-11,Japan,JP
2016-08-14,Norway,NO
2016-08-14,Sweden,SE
2016-08-15,Austria,AT
2016-08-15,Belgium,BE
2016-08-15,Colombia,CO
2016-08-15,Croatia,HR
2016-08-15,France,FR
2016-08-15,India,IN
2016-08-15,Italy,IT
2016-08-15,Poland,PL
2016-08-15,Portugal,PT
2016-08-15,Slovenia,SI
2016-08-15,Spain,ES
2016-08-17,Argentina,AR
2016-08-20,Hungary,HU
2016-08-21,Norway,NO
2016-08-21,Sweden,SE
2016-08-24,Ukraine,UA
2016-08-28,Norway,NO
2016-08-28,Sweden,SE
2016-08-29,England,None
2016-08-29,Isle of Man,IM
2016-08-29,Northern Ireland,None
2016-08-29,United Kingdom,GB
2016-08-29,Wales,None
2016-09-04,Norway,NO
2016-09-04,Sweden,SE
2016-09-05,Canada,CA
2016-09-05,United States,US
2016-09-07,Brazil,BR
2016-09-11,Norway,NO
2016-09-11,Sweden,SE
2016-09-16,Mexico,MX
2016-09-18,Norway,NO
2016-09-18,Sweden,SE
2016-09-19,Japan,JP
2016-09-22,Japan,JP
2016-09-24,South Africa,ZA
2016-09-25,Norway,NO
2016-09-25,Sweden,SE
2016-09-28,Czech,CZ
2016-10-02,India,IN
2016-10-02,Norway,NO
2016-10-02,Sweden,SE
2016-10-03,Germany,DE
2016-10-05,Portugal,PT
2016-10-08,Croatia,HR
2016-10-09,Norway,NO
2016-10-09,Sweden,SE
2016-10-10,Canada,CA
2016-10-10,Japan,JP
2016-10-10,United States,US
2016-10-12,Argentina,AR
2016-10-12,Brazil,BR
2016-10-12,Spain,ES
2016-10-14,Ukraine,UA
2016-10-16,Norway,NO
2016-10-16,Sweden,SE
2016-10-17,Colombia,CO
2016-10-23,Hungary,HU
2016-10-23,Norway,NO
2016-10-23,Sweden,SE
2016-10-24,New Zealand,NZ
2016-10-26,Austria,AT
2016-10-28,Czech,CZ
2016-10-30,Norway,NO
2016-10-30,Sweden,SE
2016-10-31,Hungary,HU
2016-10-31,Ireland,IE
2016-10-31,Slovenia,SI
2016-11-01,Austria,AT
2016-11-01,Belgium,BE
2016-11-01,Croatia,HR
2016-11-01,France,FR
2016-11-01,Hungary,HU
2016-11-01,Italy,IT
2016-11-01,Poland,PL
2016-11-01,Portugal,PT
2016-11-01,Slovenia,SI
2016-11-01,Spain,ES
2016-11-02,Brazil,BR
2016-11-03,Japan,JP
2016-11-05,Finland,FI
2016-11-05,Sweden,SE
2016-11-06,Norway,NO
2016-11-06,Sweden,SE
2016-11-07,Belarus,BY
2016-11-07,Colombia,CO
2016-11-11,Belgium,BE
2016-11-11,France,FR
2016-11-11,Poland,PL
2016-11-11,United States,US
2016-11-13,Norway,NO
2016-11-13,Sweden,SE
2016-11-14,Colombia,CO
2016-11-15,Brazil,BR
2016-11-17,Czech,CZ
